Age,Height,Class
 36.58,159.21,+1
 44.33,111.19,+1
 26.73,135.70,+1
 39.13,163.65,-1
 29.08,124.22,+1
 63.07,160.14,-1
 28.90,172.07,-1
 37.75,122.17,+1
 41.48,151.34,-1
 35.02,160.14,-1
 25.81,146.79,-1
 32.58,163.28,-1
 40.28,155.35,-1
 46.64,148.99,+1
 27.76,152.37,-1
 56.96,136.97,+1
 57.48,109.52,+1
 55.44,129.09,+1
 52.04,170.28,-1
 57.09,118.87,+1
 52.01,127.69,+1
 61.03,125.46,+1
 29.48,159.58,+1
 40.34,144.20,-1
 46.78,117.93,+1
 37.35,155.14,-1
 38.31,136.77,-1
 20.67,149.95,-1
 58.00,135.99,+1
 45.94,154.96,-1
 59.92,159.53,-1
 48.90,170.35,-1
 36.59,139.50,+1
 48.23,169.81,-1
 67.22,133.40,+1
 35.47,157.27,-1
 35.74,160.30,-1
 47.50,166.52,-1
 19.91,137.27,-1
 57.23,123.87,+1
 47.76,153.85,-1
 48.06,163.44,+1
 46.64,140.96,+1
 48.58,158.02,-1
 36.66,138.52,-1
 41.25,116.82,+1
 31.17,120.07,+1
 43.76,161.05,-1
 46.45,149.57,-1
 39.19,151.14,-1
 44.30,118.24,+1
 51.18,128.50,+1
 70.96,149.00,+1
 63.90,166.80,-1
 34.36,157.82,+1
 28.90,153.45,-1
 46.00,139.36,+1
 18.66,149.38,-1
 39.29,152.20,-1
 43.86,152.99,-1
 55.43,128.40,+1
 44.74,128.64,+1
 28.08,139.53,-1
 50.18,166.40,-1
 21.35,153.78,-1
 40.78,152.81,+1
 67.43,152.04,+1
 31.43,169.54,-1
 31.29,154.14,-1
 55.00,135.18,+1
 41.61,154.50,+1
 34.35,118.63,+1
 25.79,141.50,-1
 42.95,153.35,-1
 38.65,142.68,-1
 35.95,146.86,-1
 46.84,164.91,-1
 64.99,131.32,+1
 39.45,130.18,+1
 67.05,134.18,+1
 51.37,165.74,-1
 27.25,133.89,-1
 68.39,128.39,+1
 34.86,162.50,-1
 34.01,169.23,-1
 33.66,141.25,-1
 29.82,148.52,-1
 43.77,147.47,-1
 65.09,156.08,-1
 44.93,136.01,+1
 36.70,127.39,-1
 67.84,128.82,+1
 51.87,163.40,-1
 53.19,119.01,+1
 65.92,138.60,+1
 27.99,156.79,-1
 38.34,149.78,-1
 21.48,157.19,-1
 41.26,132.39,+1
 60.66,115.80,+1
 33.79,149.37,-1
 28.94,170.84,-1
 49.02,153.30,-1
 37.40,161.55,-1
 44.51,158.71,-1
